,habitat,site,slope,aspect,slope.position,rel.moisture,Antennaria_neglecta,Antennaria_parvifolia,Erigeron_glabellus,Erigeron_pumilus,Heterotheca_villosa,Symphyotrichum_falcatum_var._falcatum,Symphyotrichum_ericoides_var._ericoides,Symphyotrichum_ciliolatum,Symphyotrichum_laeve_var._laeve,Gutierrezia_sarothrae,Machaeranthera_pinnatifida_var._pinnatifida,Solidago_missouriensis,Oligoneuron_rigidum_var._rigidum,Achillea_millefolium,Artemisia_frigida,Artemisia_cana,Artemisia_ludoviciana,Hymenoxys_richardsonii,Arnica_fulgens,Arnica_sororia,Lactuca_tatarica_var._pulchella,Taraxacum_officinale,Tragopogon_dubius,Campanula_rotundifolia,Musineon_divaricatum,Symphoricarpos_occidentalis,Galium_circaezans_var._circaezans,Orthocarpus_luteus,Penstemon_confertus,Penstemon_nitidus,Penstemon_procerus,Plantago_patagonica,Androsace_occidentalis,Phlox_hoodii,Cerastium_arvense,Chenopodium_album,Krascheninnikovia_lanata,Comandra_umbellata,Amelanchier_alnifolia,Rosa_arkansana,Potentilla_arguta,Elaeagnus_commutata,Astragalus_australis,Astragalus_bisulcatus,Astragalus_agrestis,Oxytropis_sericea,Vicia_americana,Lathyrus_venosus,Thermopsis_rhombifolia,Dalea_purpurea,Linum_lewisii,Viola_adunca,Draba_nemorosa,Erysimum_inconspicuum,Descurainia_sophia,Lepidium_densiflorum,Sphaeralcea_coccinea,Heuchera_richardsonii,Pulsatilla_patens,Allium_textile,Zigadenus_venenosus,Danthonia_intermedia,Bouteloua_gracilis,Hesperostipa_comata_ssp._comata,Hesperostipa_spartea,Nassella_viridula,Bromus_inermis,Elymus_lanceolatus,Elymus_repens,Festuca_hallii,Koeleria_macrantha,Poa_cusickii,Poa_pratensis,Poa_secunda,Carex_filifolia,Carex_obtusata
mix-O-1,Mixedgrass,Onefour,0,270,3,1,0,0.015625,0,0,0.015625,0,0.015625,0,0,0,0,0,0,0,0.078125,0.015625,0,0,0,0,0,0.015625,0,0,0,0,0,0,0,0.015625,0,0,0,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046875,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.109375,0.140625,0,0,0,0.015625,0,0,0.140625,0,0,0.125,0.125,0
mix-O-2,Mixedgrass,Onefour,20,130,1.5,2,0,0,0,0,0,0.031746032,0.015873016,0,0,0.015873016,0,0,0,0.015873016,0.079365079,0.015873016,0,0.015873016,0,0,0,0,0,0,0.031746032,0,0,0,0,0,0,0.079365079,0,0.047619048,0,0,0.031746032,0,0,0,0,0,0,0.015873016,0,0,0,0,0.015873016,0,0,0,0,0,0,0,0.063492063,0,0,0.015873016,0,0,0.142857143,0.015873016,0,0.031746032,0,0.111111111,0,0,0.047619048,0,0,0.111111111,0.047619048,0
mix-O-3,Mixedgrass,Onefour,5,90,1,2,0,0.028169014,0,0,0,0,0.014084507,0,0,0,0,0,0,0.042253521,0.042253521,0.028169014,0,0,0.042253521,0,0,0.028169014,0,0,0.028169014,0,0,0,0.014084507,0,0,0.042253521,0.028169014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028169014,0,0,0,0,0,0,0,0,0,0.042253521,0,0,0,0.070422535,0,0.084507042,0.042253521,0,0.014084507,0,0.126760563,0,0,0.028169014,0,0,0.14084507,0.084507042,0
mix-O-4,Mixedgrass,Onefour,5,40,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0.257142857,0.285714286,0,0,0,0,0,0,0.114285714,0,0,0,0.257142857,0
mix-O-5,Mixedgrass,Onefour,5,130,2,1,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.25,0.2,0,0,0,0.025,0,0,0,0,0,0.075,0.25,0
mix-O-6,Mixedgrass,Onefour,1,90,3,1,0,0,0,0.030769231,0,0,0,0,0,0,0,0,0,0,0.092307692,0,0,0,0,0,0,0.046153846,0,0,0,0,0,0,0,0,0,0.030769231,0,0.076923077,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.107692308,0.153846154,0,0,0,0.076923077,0,0,0.061538462,0,0,0.076923077,0.153846154,0
mix-O-7,Mixedgrass,Onefour,8,0,2,2,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0.017857143,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0.035714286,0,0,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0.017857143,0,0,0.035714286,0,0,0,0,0,0,0.035714286,0,0.089285714,0.142857143,0,0,0,0.107142857,0,0,0.125,0,0,0.035714286,0.160714286,0
fes-K-8,Fescue,Kinsella,5,100,3,2,0,0,0,0,0,0,0,0,0.072916667,0,0,0,0,0.052083333,0,0,0.020833333,0,0,0,0.020833333,0,0,0,0,0.020833333,0.03125,0,0,0,0,0,0.072916667,0,0.020833333,0.020833333,0,0.0625,0.010416667,0.083333333,0,0,0.020833333,0,0,0.03125,0,0,0.010416667,0,0,0.010416667,0.010416667,0,0.010416667,0.010416667,0,0.010416667,0,0,0,0,0.010416667,0,0.083333333,0.010416667,0,0.010416667,0.020833333,0.083333333,0.010416667,0,0.0625,0,0,0.104166667
fes-K-9,Fescue,Kinsella,5,160,1.5,3,0,0,0,0,0,0,0,0.020833333,0.020833333,0,0,0.052083333,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.104166667,0,0,0,0,0,0.0625,0,0.010416667,0.041666667,0,0.0625,0,0.020833333,0,0,0,0,0.010416667,0,0.010416667,0,0.052083333,0,0,0,0,0,0,0,0,0,0.010416667,0,0,0,0.020833333,0,0.104166667,0.03125,0,0.010416667,0,0.052083333,0.010416667,0,0.083333333,0,0,0.104166667
fes-K-10,Fescue,Kinsella,18,155,2.5,2,0,0.071428571,0.102040816,0,0,0,0,0,0,0,0,0,0.010204082,0.040816327,0.051020408,0,0.010204082,0,0,0.010204082,0,0,0,0,0,0,0,0,0,0,0,0,0.020408163,0,0.010204082,0.020408163,0,0.020408163,0,0,0.040816327,0,0,0,0.020408163,0,0,0,0,0,0,0,0.010204082,0,0,0,0,0,0.020408163,0.030612245,0,0.051020408,0.091836735,0,0,0,0,0.102040816,0,0.040816327,0.102040816,0,0.020408163,0,0,0.102040816
fes-K-11,Fescue,Kinsella,12,180,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072289157,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0.072289157,0,0.096385542,0,0.048192771,0,0,0,0,0,0.012048193,0,0,0.036144578,0.048192771,0,0,0.036144578,0,0,0,0,0,0.024096386,0.024096386,0,0,0.084337349,0,0.120481928,0,0,0.060240964,0,0.036144578,0.108433735,0,0.012048193,0,0,0.084337349
fes-K-12,Fescue,Kinsella,5,164,3,3,0.020408163,0,0.030612245,0,0,0.020408163,0,0,0.020408163,0,0,0.020408163,0,0.040816327,0.020408163,0,0.030612245,0,0,0,0.030612245,0,0,0,0,0.020408163,0.051020408,0,0,0,0.010204082,0,0.010204082,0,0.030612245,0.051020408,0,0.071428571,0.010204082,0.020408163,0,0,0,0,0,0,0,0,0.010204082,0,0,0.020408163,0.020408163,0,0,0,0,0,0.010204082,0.010204082,0,0,0,0,0.020408163,0,0,0.020408163,0.051020408,0.071428571,0.081632653,0.010204082,0.06122449,0,0,0.102040816
fes-K-13,Fescue,Kinsella,15,220,2.5,3,0,0,0,0,0,0.030612245,0,0,0.071428571,0,0,0.010204082,0,0,0.030612245,0,0,0,0,0,0,0,0,0.010204082,0,0.020408163,0.040816327,0,0,0,0,0,0.040816327,0,0,0.06122449,0,0.040816327,0.010204082,0.06122449,0,0,0,0,0.020408163,0,0,0,0.06122449,0,0,0,0,0,0,0,0,0,0.020408163,0.010204082,0,0,0,0,0.051020408,0.071428571,0.010204082,0.030612245,0,0.030612245,0.081632653,0.020408163,0.06122449,0,0,0.102040816
fes-K-14,Fescue,Kinsella,3,160,3,3,0,0,0,0,0,0.024096386,0,0,0,0,0,0,0.012048193,0.048192771,0,0,0.084337349,0,0,0,0,0,0,0.036144578,0,0.012048193,0.120481928,0,0,0,0,0,0,0,0,0,0,0,0,0.036144578,0.012048193,0,0,0,0.036144578,0,0.024096386,0.012048193,0.072289157,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0.036144578,0,0.120481928,0,0.096385542,0.120481928,0,0,0.084337349
fes-K-15,Fescue,Kinsella,5,160,3,3,0,0,0,0,0,0.03125,0,0,0,0,0,0.09375,0,0.046875,0,0,0.078125,0,0,0,0.109375,0,0,0.015625,0,0,0.046875,0,0,0,0,0,0,0,0.015625,0,0,0.015625,0,0.03125,0,0.03125,0,0,0,0,0.078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0,0.15625,0,0,0.15625,0,0,0.078125
fes-K-16,Fescue,Kinsella,6,150,1.5,3,0.027777778,0,0.018518519,0,0,0.027777778,0,0,0,0,0,0.037037037,0,0.009259259,0.018518519,0,0.037037037,0,0,0,0,0,0,0,0,0.027777778,0.037037037,0.055555556,0,0,0.018518519,0,0.055555556,0,0.009259259,0.092592593,0,0.046296296,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0,0,0.018518519,0,0,0,0.037037037,0,0.092592593,0.009259259,0,0.009259259,0.018518519,0.027777778,0.092592593,0,0.018518519,0,0,0.092592593
fes-K-17,Fescue,Kinsella,4,140,2.5,2,0,0,0,0,0,0,0,0,0.042253521,0,0,0.084507042,0,0.056338028,0,0,0.126760563,0,0,0,0,0,0,0.014084507,0,0,0.14084507,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0.014084507,0,0,0,0.014084507,0,0.070422535,0,0,0,0,0,0,0,0,0,0,0.014084507,0,0,0,0,0,0,0,0,0,0,0,0.14084507,0,0.014084507,0.14084507,0,0,0.070422535
mix-H-18,Mixedgrass,Hargrave,2.5,45,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0.181818182,0.227272727,0,0,0,0.113636364,0,0,0.181818182,0,0,0.022727273,0.159090909,0
mix-H-19,Mixedgrass,Hargrave,7.5,90,2,1,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0.050847458,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084745763,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152542373,0,0,0,0,0,0.13559322,0.169491525,0,0,0,0.050847458,0,0,0.152542373,0,0,0.033898305,0.084745763,0
mix-H-20,Mixedgrass,Hargrave,20,0,1.5,1,0,0,0,0,0.018518519,0.074074074,0,0,0,0,0,0.037037037,0,0.037037037,0.037037037,0.092592593,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0,0.018518519,0,0.092592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0.092592593,0,0.111111111,0,0.074074074,0,0,0.018518519,0,0,0.12962963,0.074074074,0
mix-H-21,Mixedgrass,Hargrave,1.5,180,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588,0,0,0,0,0,0.294117647,0.294117647,0,0,0,0,0,0,0.029411765,0,0,0,0.147058824,0
mix-H-22,Mixedgrass,Hargrave,6,180,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119047619,0,0,0,0,0,0.071428571,0.238095238,0,0.071428571,0,0.19047619,0,0,0,0,0,0.047619048,0.023809524,0
mix-H-23,Mixedgrass,Hargrave,2.5,45,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.2,0,0.1,0,0.25,0,0,0.125,0,0,0.025,0.05,0
mix-H-24,Mixedgrass,Hargrave,20,45,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0.033333333,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.033333333,0,0.15,0,0,0.133333333,0,0,0,0.133333333,0
mix-H-25,Mixedgrass,Hargrave,2.5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0.185185185,0.185185185,0,0,0,0.037037037,0,0,0.148148148,0,0,0.111111111,0.092592593,0
mix-H-26,Mixedgrass,Hargrave,20,180,2,3,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06779661,0,0,0,0,0,0,0,0,0,0,0,0,0.13559322,0.152542373,0,0.118644068,0,0.169491525,0,0,0.118644068,0,0,0.033898305,0.118644068,0
mix-H-27,Mixedgrass,Hargrave,3,315,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0.214285714,0.238095238,0,0,0,0.023809524,0,0,0.214285714,0,0,0.023809524,0.119047619,0
