SampleYear,SampleMonth,Period,Location,FilmDate,Transect,CoralCov,GorgCov,SpoCov,BLCov,DisCov
2022,9,Annual,FishBay,9/8/22,1,2.24,6.04,1.12,0,0
2022,9,Annual,FishBay,9/8/22,2,4.37,15.45,0.29,0,0
2022,9,Annual,FishBay,9/8/22,3,0.87,20.29,0.29,0,0
2022,9,Annual,FishBay,9/8/22,4,16.96,19.03,1.73,0,0
2022,9,Annual,FishBay,9/8/22,5,6.75,16.4,1.29,0,0
2022,9,Annual,FishBay,9/8/22,6,14.48,12.02,2.19,0,0
2022,10,Annual,MagensBay,10/3/22,1,0,6.69,3.9,0,0
2022,10,Annual,MagensBay,10/3/22,2,NA,2.07,2.37,0,0
2022,10,Annual,MagensBay,10/3/22,3,3.04,3.04,5.41,0,0
2022,10,Annual,MagensBay,10/3/22,4,1.85,12.96,2.78,0,0
2022,10,Annual,MagensBay,10/3/22,5,1.79,3.94,2.51,0,0
2022,10,Annual,MagensBay,10/3/22,6,1.59,4.44,0.32,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,1,9.48,2.29,2.29,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,2,4.94,3.4,3.7,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,3,6.92,4.5,3.11,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,4,5.19,3.57,1.95,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,5,6.62,3.79,1.89,0,0
2022,10,Annual,SeahorseCottageShoal,10/4/22,6,6.62,4.3,0.33,0,0
2022,10,Annual,Savana,10/3/22,1,1.46,1.21,0.49,0,0
2022,10,Annual,Savana,10/3/22,2,3.17,2.02,0.58,0,0
2022,10,Annual,Savana,10/3/22,3,3.19,0,1.45,0,0
2022,10,Annual,Savana,10/3/22,4,7.04,NA,1.41,0,0
2022,10,Annual,Savana,10/3/22,5,3.85,1.05,0.35,0,0
2022,10,Annual,Savana,10/3/22,6,2.56,1.99,0,0,0
2022,10,Annual,FlatCay,10/10/22,1,4.24,1.82,10.91,0,0
2022,10,Annual,FlatCay,10/10/22,2,4.46,0.99,14.85,0,0
2022,10,Annual,FlatCay,10/10/22,3,9.65,0.77,14.09,0,0
2022,10,Annual,FlatCay,10/10/22,4,6.09,0.76,7.11,0,0
2022,10,Annual,FlatCay,10/10/22,5,7.87,2.53,6.74,0.28,0
2022,10,Annual,FlatCay,10/10/22,6,9.96,1.04,5.81,0,0
2022,10,Annual,StJames,10/12/22,1,3.3,0,5.22,0,0
2022,10,Annual,StJames,10/12/22,2,2.86,0.26,2.86,0,0
2022,10,Annual,StJames,10/12/22,3,1.09,0,3.55,0,0
2022,10,Annual,Stjames,10/12/22,4,1.79,0.26,3.33,0,0
2022,10,Annual,StJames,10/12/22,5,5.91,0.25,4.43,0,0
2022,10,Annual,StJames,10/12/22,6,2.47,0.27,4.38,0.55,0